"Sector","1","2","3","4","5","6","7","8","9","10"
"'1975m3'","0.66316832013006","1.1239372395769","0.79323537865409","1.0293698734953","1.0871318310347","1.2398707809053","0.72932735736099","0.69288110487116","0.44887806694509","1.0470521564588"
"'1975m4'","0.66070383410705","1.1304135084339","0.79433472028326","1.0292187651961","1.0871318472814","1.2381578096165","0.72163383882783","0.67866447760947","0.44887806424132","1.0307523041301"
"'1975m5'","0.6659359077934","1.1245500982284","0.79798352144855","1.0254618043926","1.0871318274865","1.2252356468073","0.73076180329938","0.6670590532255","0.4488780715191","1.040341558495"
"'1975m6'","0.64823099545545","1.1229079237087","0.79859994199099","1.0269024160944","1.0871319272459","1.1969722084156","0.71696627301737","0.67668723254565","0.44887808320207","1.051742347576"
"'1975m7'","0.70599367287064","1.1174500083259","0.79906480360086","1.0252202629327","1.0871321320818","1.2096662906623","0.77859832753062","0.67340768930846","0.4488780920557","1.0735990666929"
"'1975m8'","0.72707450966869","1.1109221940484","0.7985939812672","1.0236985505774","1.0871321044345","1.2092722765749","0.79236048453295","0.69795740448772","0.44887809301337","1.1110648736936"
"'1975m9'","0.74469268153719","1.122329011061","0.7969137461003","1.0225161487701","1.0871321158291","1.1863686711444","0.82029774450416","0.67241654604867","0.44887809352073","1.1344842747012"
"'1975m10'","0.85791677775717","1.1258064924944","0.78768448006652","1.0488702376384","1.0871323178247","1.205572387352","0.89834053237667","0.72184239948239","0.44887811020932","1.127909343462"
"'1975m11'","0.87892461351859","1.1239375534895","0.78374889304596","1.0539571501479","1.0871322414366","1.2046845032217","0.91100545332447","0.73132621239196","0.44887811358091","1.1569906322515"
"'1975m12'","0.89901499060607","1.121371832649","0.78219854859599","1.0536228171988","1.0871324183422","1.201900287593","0.93251904927899","0.72214925520371","0.44887811213912","1.162631275139"
"'1976m1'","0.76374838397482","1.1773109887228","0.76411612273813","1.0095242184733","1.0871347076031","1.2563217856479","0.79750225676503","0.70937083762292","0.44887812518053","1.0639899651989"
"'1976m2'","0.75703286283936","1.1776734942054","0.76334173017367","1.0098519026509","1.0871347048881","1.2556831658955","0.79081704543523","0.71019517001369","0.44887812357403","1.0637517167418"
"'1976m3'","0.75495645781368","1.1703458301503","0.76990694337189","1.0196886197809","1.087134648587","1.2459044382694","0.8077897686496","0.70366135475148","0.44887812268373","1.0556129796196"
