"date","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50"
"'1975m3'","0.83738471704468","1.2464214595473","0.91595757851547","1.0654038837244","1.1249984235219","1.0359731562732","0.85365353551418","0.74653568820629","0.56614814838712","1.1513913359483","-0.14522696945674","0.056441625420302","-0.11384533630848","0.037468195681889","-0.060556142766646","-0.084817358252148","-0.24476725705607","-0.49371310078632","-0.27196207048721","-0.14513190331771","-0.18254168214958","0.28601839808619","0.06575530204562","0.12549191149836","0.024034583575652","-0.35504568049776","-0.27134551442926","-0.017126931062574","0.23494272860122","0.66498243126393","0.59734296689858","0.36662542348962","0.23414930169154","0.21040730523861","0.071512533261659","-0.52354744125959","0.38809518142701","-0.28318268083539","-0.045845331127109","0.084852979230095","0.58342676093953","0.14656276333755","0.33962757400661","-0.073504610829223","0.083464705356783","-0.44601751962392","0.45051114046926","0.1691639804323","0.27340383009615","-0.27658422503896"
"'1975m4'","0.83566097247206","1.2472143268987","0.91602945150098","1.0654038828291","1.1250198830658","1.0355818109733","0.84486849386814","0.73165748672557","0.5661052335313","1.14075000081","-0.14522696909018","0.056441624060209","-0.11391021249469","0.037640549658379","-0.060556142893431","-0.084815518497042","-0.24476725626473","-0.49107052227445","-0.27135702950955","-0.14420205787253","-0.17996673611677","0.27367208027037","0.053451422322428","0.12659966355007","0.023884134336387","-0.35468819755841","-0.26175523905274","-0.015662747251121","0.2414493923127","0.67999885476133","0.59720343800869","0.37030258289068","0.24033390825627","0.21040730491928","0.07151253358991","-0.52512501874949","0.3856682775163","-0.28484812773431","-0.046740521436925","0.084235449916876","0.58342676210482","0.089731516991696","0.32243718264865","-0.0713397835866","0.083464705043894","-0.4359188945192","0.45051114230747","0.1786274914265","0.28682869145776","-0.26640858604159"
"'1975m5'","0.83740827879255","1.2466540210859","0.91628352273231","1.0654038779646","1.1250120857983","1.0314118168836","0.85160990471799","0.72501988956853","0.56625017035176","1.1584221105971","-0.14522696755368","0.056441620151389","-0.11296026212485","0.033772843604558","-0.060556143081707","-0.084893551987719","-0.24476725374391","-0.49583353343599","-0.26296979962353","-0.13776876047336","-0.18781640191015","0.29976631383825","-0.076884581908975","0.14469370667344","0.024047993046186","-0.34336016519962","-0.2839203371595","-0.013696784083689","0.17553654584707","0.60475681019339","0.59712482375518","0.37173476139374","0.22821880286456","0.21040730588014","0.071512533655042","-0.51582545089621","0.38461711703929","-0.28442681629194","-0.048405009417749","0.083653546376185","0.58342676167461","0.10443971941683","0.3002331853172","-0.067046937513602","0.083464705085725","-0.39657968006801","0.45051114179837","0.18014402498375","0.27021971440642","-0.27248637408058"
"'1975m6'","0.83538499493207","1.2464937801322","0.91633951822421","1.0654038826072","1.1251793624173","1.0245691486143","0.84520726696553","0.72865737776853","0.56642708794136","1.1633042795819","-0.1452269684075","0.056441619610019","-0.1128593721211","0.035557886368876","-0.060556141121812","-0.084955117398931","-0.24476725487733","-0.49461455094473","-0.25801147671532","-0.1369264479307","-0.19085781829546","0.29735476662976","-0.068027643280003","0.15013655002107","0.025224916272901","-0.34950699681331","-0.29111631200431","-0.013292255365542","0.20146859192606","0.61167918406678","0.59740662469674","0.37299562607343","0.22014083570426","0.21040730308112","0.071512529269211","-0.46902220593268","0.38768253380756","-0.28514786884581","-0.054670876023693","0.08316517694255","0.58342676072174","0.096640077816032","0.30911879484479","-0.059484130665301","0.083464706774457","-0.51685068526584","0.45051114085213","0.18185192560278","0.30783951754865","-0.26922464485006"
"'1975m7'","0.84643079052469","1.2457576520675","0.91628118022998","1.0654038796743","1.125442541506","1.0276338548535","0.88246606442759","0.70197555696283","0.56652404714376","1.1716570074574","-0.14522697771829","0.056441624363462","-0.11265669156539","0.037680988810154","-0.060556147016493","-0.085008538621067","-0.2447672686883","-0.4757533823605","-0.26317632882509","-0.13989490807712","-0.20669184394585","0.30817061860994","-0.058874355085412","0.1535123951452","0.023429305292808","-0.35213524332549","-0.32999006968036","-0.01070321732948","0.18756459150868","0.6006053900322","0.5972365021242","0.3737321340672","0.22123780028492","0.2104073033181","0.071512528448101","-0.47170052240656","0.38590406576669","-0.28463456713439","-0.055108572847076","0.083074710396781","0.58342675641036","0.1260192551107","0.31684225696721","-0.055601084768832","0.083464704604041","-0.56093801634308","0.45051113623225","0.19196971240156","0.29098420650813","-0.27386969319059"
"'1975m8'","0.85307745392033","1.2447721868769","0.91623534186846","1.0654038756784","1.1253952928033","1.0288844703477","0.89744891181245","0.73402829935778","0.56653501508669","1.1960243667216","-0.14522696721487","0.056441612779849","-0.11293741843116","0.03264245005144","-0.060556149015913","-0.084968875435615","-0.24476725821966","-0.43309469136027","-0.26212156728882","-0.12417731246646","-0.19447047100142","0.29111530608198","-0.067122453834633","0.14836575622973","0.023033238484209","-0.35086669012455","-0.30883811116023","-0.0064445210693573","0.18939927473878","0.64226712713784","0.596661882374","0.37840747530475","0.22517007980188","0.21040730472803","0.071512529214511","-0.47678664231267","0.38142616726347","-0.28846843576872","-0.055341689774943","0.081596770312009","0.58342676093249","0.060476747131746","0.30701060544762","-0.064053106667951","0.083464703932309","-0.53101180547947","0.45051113953456","0.21353645565212","0.29413447848445","-0.25065320972409"
"'1975m9'","0.85747748110274","1.2460824089109","0.9160822929536","1.0654038723326","1.1253907406563","1.0241050800293","0.91968795051172","0.70633153704483","0.56652486559414","1.2084618920226","-0.14522696721515","0.056441612859392","-0.11294235396521","0.032615996482294","-0.060556149015519","-0.084970252528808","-0.24476725820971","-0.4331755321053","-0.26212458151756","-0.12413930196635","-0.19640194609568","0.28517616803665","-0.05966015399065","0.14955482750717","0.02304316475366","-0.34964411710019","-0.31567565660264","-0.0056913117973532","0.18985432567925","0.63748871632148","0.59650343898958","0.37562482486344","0.23117715706704","0.2104073052769","0.071512529245824","-0.46794213137164","0.37874024407537","-0.28712122266771","-0.055245153779487","0.081276345078279","0.58342675981028","0.02676816325791","0.32018338172549","-0.061172809364093","0.083464703956711","-0.48669925724907","0.45051113771728","0.22054438075054","0.29527921016746","-0.25520382347063"
"'1975m10'","0.88485928451914","1.2464852636479","0.91531141079542","1.0654039230016","1.1255764630952","1.0302355979655","0.96364429114007","0.71382794064797","0.56666490919497","1.2007612047166","-0.14522700306626","0.056441608836967","-0.10886089045383","-0.022915960199946","-0.060556155411437","-0.085138325241741","-0.24476728385384","-0.44160166300024","-0.27352388401127","-0.1198596442962","-0.18632420558228","0.28615565720813","-0.079852713701435","0.16061039570308","0.023323838690877","-0.34897608808062","-0.30227644003298","-0.0054495464494455","0.19372768231732","0.6346910271392","0.5960480347763","0.37524640579363","0.24456401944821","0.21040730130123","0.071512528606163","-0.47237155891722","0.3765014692649","-0.28728021408054","-0.055879129112674","0.081358941586184","0.58342678615861","0.063810532009403","0.084106309840918","0.09807625910005","0.08346470758997","-0.28752380690524","0.45051115162133","0.22814807197355","0.35254437648097","-0.26612408425309"
"'1975m11'","0.89142196281994","1.2461975274613","0.9150695148872","1.0654039302059","1.1254178074397","1.0307128002771","0.97325881584921","0.71388224583714","0.56667395348932","1.2136975939079","-0.14522700721369","0.056441610171992","-0.10826020061284","-0.02653956611059","-0.060556152673112","-0.085143964653798","-0.24476728646822","-0.44162760751035","-0.27387375996912","-0.12306252013143","-0.1571089975688","0.27301025364246","-0.1951922336937","0.18631977174697","0.02015587876535","-0.34758867633261","-0.26904617354989","-0.0054298393452244","0.19766116751633","0.69305310177304","0.59574864633577","0.37599485428397","0.25572828659032","0.21040729985918","0.071512529986309","-0.47347035273192","0.3750042861636","-0.28728400018118","-0.055985005703413","0.080934769853464","0.58342679537009","0.023372364205861","-0.024374867760665","0.13153847019916","0.083464702934217","-0.26267072863841","0.45051115599362","0.22823098819659","0.35806919868403","-0.2397843271209"
"'1975m12'","0.89722518348853","1.2458355077882","0.91491968691175","1.0654039305635","1.125698841315","1.0300400596657","0.9898290165702","0.70610033942811","0.56665441181573","1.2211391239263","-0.14522700686711","0.056441610255809","-0.1082378841191","-0.026549117849876","-0.060556152451798","-0.085143192289326","-0.24476728578832","-0.44225631705591","-0.27385473941407","-0.12288636982968","-0.19386723395856","0.29386499017166","-0.10690566637665","0.18473786366251","0.011970238174125","-0.34536771748429","-0.34878519558311","-0.001749063235709","0.20877168117742","0.64973529695491","0.59583821115093","0.37579458643878","0.25462665512948","0.21040729987211","0.071512530734245","-0.47377809895427","0.37599963204951","-0.2875268120121","-0.056035376956375","0.081013772737895","0.58342679084188","0.046935015926287","0.0032481209803121","0.13081364930857","0.083464698212437","-0.24775733762991","0.45051115181485","0.23512391863444","0.36377935144105","-0.247275279253"
