date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
'1975m3',0.737668605393552,1.19096442571091,0.877094792965342,1.0391545401295,1.10012272519658,1.09334044319848,0.779745845502252,0.745515191879019,0.565064140971578,1.15421023304066,-0.31387595324317,-0.054682668791164,-0.180670516472281,-0.031173385384886,-0.084467908325199,0.113895827847713,-0.358079043463612,-0.359735816342955,-0.250847412911751,-0.191741793771289,0.105088502319128,0.353565784722796,0.243941157071324,0.082510655997411,0.036691519049574,-0.659178691731669,-0.068357808674655,-0.046627576154988,0.351550786768458,0.50131872081824,0.012860949227644,0.178443434219866,0.136910461111822,0.032903226404186,-0.061755148875084,0.017119698703055,-0.019954052799838,0.013622901919558,0.088537087456807,-0.078233232379553,0.050274171040971,-0.087317352429495,0.084660111683922,-0.106375575681075,-0.047144674408666,-0.195243195302105,0.045575997504279,-0.05669947856805,0.103552998154053,-0.071905255590628
'1975m4',0.734645596545456,1.19096443637671,0.877094795557178,1.0391556595003,1.10012272621079,1.09187056074549,0.760120437258945,0.74216963904201,0.565040502645248,1.15421022332733,-0.31387238606561,-0.054693247824095,-0.180695879484877,-0.031173446530117,-0.084468067738132,0.113895827998377,-0.357994611565273,-0.359735815919759,-0.250366771877394,-0.191032686497271,0.106638753803092,0.330144936708794,0.239948654186108,0.082479564927466,0.0366221318942,-0.659178691404597,-0.065713728711694,-0.04556582123166,0.35493420720267,0.511470089090727,0.01286094917447,0.17914991637605,0.137614271919725,0.032903232512889,-0.061755148843214,0.016993514119261,-0.020545041019823,0.013621505869677,0.088519245838919,-0.078545599688815,0.046851952870322,-0.087317349085008,0.099520771580097,-0.10632949865222,-0.047144674089945,-0.19723661585782,-0.002120873670193,-0.082910551946463,0.102678168807416,-0.093496190254386
'1975m5',0.746338494900215,1.19096443074707,0.877094806793599,1.03891550679141,1.10012272547577,1.07624558089057,0.786871620280909,0.740780607486854,0.565124979081556,1.15421023808463,-0.313787633245152,-0.054727441062146,-0.180017230604889,-0.031255362513889,-0.084468763867195,0.113895818330927,-0.357266307386225,-0.359735817000917,-0.239950224939025,-0.184262066684374,0.088492855038223,0.367236823679747,0.18796747943065,0.102660952199038,0.036772812057343,-0.65917868098955,-0.076759290549226,-0.044233161230623,0.318633202148581,0.464742624547326,0.012860945612563,0.185349483630415,0.090113259939153,0.032923066222046,-0.061755148437179,0.040811084384504,-0.03286490173391,0.013630681247958,0.087427897543086,-0.085458149340972,0.042814842595186,-0.087317348555759,0.080391317599215,-0.103354025669035,-0.04714467402326,-0.191022722448503,-0.022340145042203,-0.079750855929461,0.101767851576472,-0.103348785789745
'1975m6',0.731944581334607,1.19096442736451,0.877094808013318,1.03901194969092,1.10012273133933,1.05898145134969,0.759748419655019,0.742758428716378,0.565219082865712,1.15421023952587,-0.313808740927705,-0.054731972897749,-0.18000136380118,-0.031248012054129,-0.08446756482553,0.113895816131638,-0.357398067158093,-0.359735816673886,-0.237428771788508,-0.184115491203202,0.080544065743979,0.360014588029444,0.189879648682238,0.105232274552541,0.037176660949721,-0.659178685087592,-0.08129528684619,-0.043582593553547,0.332052442162221,0.466211076925805,0.01286094792071,0.187356889944597,0.087358329192088,0.03291875706509,-0.06175515015872,0.054647634828836,-0.026489434318858,0.013623768568909,0.086779577595526,-0.085822344044223,0.042262793231202,-0.087317348589066,0.080617331078509,-0.103231127909402,-0.047144673962794,-0.191818682928736,-0.024792089101725,-0.079235677155471,0.101881823588586,-0.10324729423184
'1975m7',0.759332195603576,1.19096441734707,0.877094806321632,1.03885106993496,1.10012274373338,1.07004003467472,0.846397564491687,0.737810745409421,0.565269031286725,1.15421025058357,-0.313929018203488,-0.054698258668879,-0.17994518609195,-0.031217276313582,-0.08447402159307,0.113895812259421,-0.358929666486449,-0.359735814500913,-0.240811887845322,-0.18691986343562,0.066808692344135,0.380947631668667,0.192404443500678,0.109477628578193,0.036349493972721,-0.659178687514451,-0.093239189914558,-0.042035214884058,0.32511972995975,0.455170684473992,0.012860950018951,0.185015430939608,0.085883375992385,0.032915878682043,-0.061755148759975,0.058305466545853,-0.015264327075419,0.013616772796405,0.086911921909817,-0.084731258652099,0.035497316281464,-0.087317347936788,0.082624526169944,-0.101850690407,-0.047144674771188,-0.194980269836836,-0.072597092108445,-0.071094110321579,0.101497262451082,-0.108369301431349
'1975m8',0.7797133535145,1.19096440504343,0.877094804938415,1.03870270147283,1.10012274323453,1.07212177272437,0.885055942148937,0.745174386152593,0.565274657599188,1.15421027797454,-0.313683626390711,-0.054808751426397,-0.18007006781284,-0.031291897879737,-0.084474737295455,0.113895814300113,-0.356992002666679,-0.359735805584378,-0.239779376506713,-0.168746966690229,0.081157964368859,0.350328611226158,0.189944177454376,0.104809440390129,0.036308578987237,-0.659178686921146,-0.084854049195831,-0.039101592391513,0.326064933922907,0.487108427388271,0.012860954635819,0.1760605196932,0.08201528209067,0.032907771372471,-0.061755148946713,0.060538887656526,-0.000818831453128,0.013650569675109,0.08696094173446,-0.076272652879291,0.039424809442704,-0.087317348472911,0.08150137269401,-0.102693425130011,-0.047144674793862,-0.194537366015401,-0.053652677867653,-0.062365727322895,0.101526818984,-0.100089529363218
'1975m9',0.790612477539918,1.19096442127688,0.877094799305066,1.03856658459209,1.10012274473172,1.05773216333322,0.92967122086567,0.738824771385087,0.565264755545351,1.15421029533163,-0.313680665812145,-0.054804513596266,-0.180084880755679,-0.031293910766673,-0.084474678678606,0.113895813943501,-0.356950240884873,-0.359735805786713,-0.239829900496336,-0.168402028697888,0.079588682201437,0.339377179243102,0.192720871034231,0.105944828386597,0.036276577539711,-0.659178685926512,-0.086512419739974,-0.038485162402709,0.326504088390122,0.481556700823849,0.012860957021569,0.187771916399072,0.066554427752004,0.032900343484287,-0.061755148408037,0.04580341242265,0.014910852544139,0.013622581412219,0.086877468597081,-0.070940829896968,0.036270834910464,-0.087317349690149,0.089221465343003,-0.101347706783356,-0.04714467490628,-0.189759995657148,-0.083012221139789,-0.050268731308608,0.101614468327661,-0.109341407366077
'1975m10',0.854930943373498,1.19096441671685,0.877094780086688,1.04075565864217,1.10012275912319,1.07116765597982,0.990242678299989,0.743640513607415,0.565342549941516,1.1542102885432,-0.31422207769767,-0.054775984113847,-0.178843583224407,-0.03205412145303,-0.084488616350484,0.113895804740062,-0.359179240070012,-0.35973580975828,-0.249521203863857,-0.165244101025922,0.089583530556307,0.337373521688334,0.187180710605327,0.118794589278019,0.036488082264736,-0.659178685222191,-0.083512809838146,-0.038118355990876,0.328908840092545,0.480089600269495,0.012861023643966,0.172301904058626,-0.189573930179273,0.033453451557455,-0.061755124200786,0.112171807996493,0.121488791957439,0.013722205411197,0.089932516885024,-0.08070997470309,0.030670061816909,-0.087317349573441,0.097486219829934,-0.108971820441755,-0.047144675285753,-0.191137815087601,-0.091717247714804,-0.05337033992399,0.101374632019222,-0.108127949237701
'1975m11',0.866582727346857,1.19096441059751,0.877094773295692,1.04109930859766,1.10012275361853,1.07309795386505,0.996733117046765,0.744780850009833,0.565350643435229,1.15421030226157,-0.31427620409128,-0.054755265212605,-0.178639718529644,-0.032123587694666,-0.084485457518246,0.113895804069721,-0.359280575806378,-0.359735810307607,-0.250110903886064,-0.16864445842302,0.109752166514109,0.297064957646308,0.149169889842379,0.145046987909475,0.035413879912863,-0.659178683671976,-0.079203303661741,-0.037017374161746,0.332212621155754,0.524155999794053,0.012861032666647,0.156847809437898,-0.253862732448947,0.033519847169432,-0.061755131544114,0.119268958312187,0.12918977995693,0.013740779834315,0.090181274470362,-0.066179028422268,0.022403959432683,-0.087317348447499,0.12406078197655,-0.116676410736458,-0.047144674351646,-0.1928611029129,-0.105200142708541,-0.058411306579516,0.101211089698788,-0.12642721808134
'1975m12',0.8838592353806,1.19096440697719,0.877094769572831,1.04113117353214,1.1001227661885,1.06963479139293,1.03802936253597,0.742929876956684,0.565341713271695,1.15421031147364,-0.314176241859849,-0.054768871163228,-0.17878414625913,-0.032117099830955,-0.08447784798033,0.113895802548963,-0.358262649268703,-0.359735811288012,-0.250784084972387,-0.166163177643586,0.067671718907257,0.328434505380017,0.172752638801316,0.141632060892435,0.031826901640713,-0.659178680207104,-0.10931872264736,-0.034450358484787,0.337389683078813,0.486966281468828,0.012861032338807,0.156110535839362,-0.255589744453053,0.033520491063635,-0.061755131012715,0.119397476753529,0.124927210002385,0.013740446784107,0.090164629843752,-0.065110296742593,0.028265086328873,-0.087317348704234,0.11904748760835,-0.116389386810325,-0.047144673413964,-0.194113080731586,-0.069888852714538,-0.062087891646618,0.101135302800211,-0.121973324656914
