edate,VarCov_mktrf_mktrf,VarCov_smb_mktrf,VarCov_hml_mktrf,VarCov_ps_vwf_mktrf,VarCov_smb_smb,VarCov_hml_smb,VarCov_ps_vwf_smb,VarCov_hml_hml,VarCov_ps_vwf_hml,VarCov_ps_vwf_ps_vwf
1971m8,.001990262,.00054792018,-.00024329797,-.00013222781,.00080925791,-.00019427465,-.0000813714,.00049938314,.000018332268,.00089705479
1971m9,.001905599,.00048275903,-.00019684518,-.000086437598,.00070268795,-.00018335016,-.000074431293,.00054043892,.000047678532,.00088401081
1971m10,.0017444761,.0004252794,-.00017377769,-.00007924455,.00062133156,-.00018088732,-.000064633663,.00062685518,.000044616791,.00080905517
1971m11,.0018525467,.00045376393,-.00014833025,-.00018079163,.00060652581,-.00015646209,-.000097178461,.00054296316,.000028833692,.0009090731
1971m12,.0016885301,.00044761758,-.0001326005,-.00016262315,.00066738977,-.00012409042,-.000095173855,.00053194596,.000023185794,.00082985696
1972m1,.0022447528,.00061649748,-.00015334225,-.00019365625,.000741984,-.00012479398,-.00010208299,.00046668848,.000021911792,.00077312574
1972m2,.002052929,.0007141789,-.0001315031,-.00022347442,.0011790872,-.000073705931,-.00026045126,.0004695612,-.000019396608,.0009074586
1972m3,.0019052015,.00063521852,-.00017068959,-.00019375242,.00101187,-.000091221591,-.00021895587,.00055372174,-.000026633335,.00083107909
1972m4,.0017221365,.00054870424,-.00016164065,-.00017833887,.00085942738,-.000080874554,-.00019805299,.00053469627,-.000052013202,.00087017094
1972m5,.0015657241,.00047883307,-.00014804538,-.00016149115,.00074047176,-.000072264331,-.00017093096,.0004664388,-.000043467389,.00081209949
1972m6,.0014351816,.00043820252,-.00016110657,-.00014764535,.00076721294,-.000032152351,-.00014837585,.00054948934,-.000031150106,.00075715629
1972m7,.0014156145,.000390481,-.00011846836,-.00015221874,.00067025347,-.000036942551,-.00012847467,.00058532687,-.000041729829,.00071992422
1972m8,.0013219246,.00039468514,-.00011525302,-.00014888855,.00072156638,-.000046252771,-.00014050315,.00050956669,-.000032580778,.00069724978
1972m9,.0012978313,.00033518864,-.000057023972,-.00020491118,.00088250497,-.00016795959,-.000054977882,.00076075899,-.00014134932,.00082267099
1972m10,.0012320431,.00033803613,-.000060942602,-.00016882119,.00086845946,-.00015345818,-.000023566052,.00063898478,-.00012404173,.00080871262
1972m11,.001143713,.00031640308,-.000062356805,-.00015422016,.00085924758,-.00015389617,6.4251112e-06,.00056520582,-.0001200272,.00080055941
1972m12,.0012409624,.00026940173,.000039036357,-.00017525977,.0007607009,-.00018699245,.000012342837,.0008201811,-.00015663727,.00076269079
1973m1,.0011513504,.00024896106,.000023780967,-.00015850758,.00071824569,-.00015100311,6.2800509e-06,.0007780192,-.00014417357,.00071597128
1973m2,.0012352591,.00033325361,-.000038768103,-.00010364567,.00081625493,-.0001914457,.00004582126,.00075042446,-.00015675095,.00072471885
1973m3,.0014631295,.0004716308,-.000087109438,-.000048508427,.00094592414,-.00021105618,.000079489808,.00066572754,-.00014935878,.00071418396
1973m4,.0013798698,.0004636352,-.0001138388,-.000028211996,.00093217124,-.00023540482,.000099625868,.00067577313,-.00016317684,.00071374024
1973m5,.0016915558,.00061337103,-.00034924291,-.00010329983,.0010352001,-.00038880031,.000052627114,.001052723,-.00010979353,.00071901764
1973m6,.0016716802,.00075387955,-.00030889187,-.000082183491,.0014309987,-.00037712589,.000080020131,.00085918844,-.000092387752,.00068652519
