edate,VarCov_mktrf_mktrf,VarCov_smb_mktrf,VarCov_hml_mktrf,VarCov_umd_mktrf,VarCov_smb_smb,VarCov_hml_smb,VarCov_umd_smb,VarCov_hml_hml,VarCov_umd_hml,VarCov_umd_umd
1927m1,.0028922469,.000048388625,.000039384657,-.00007486,.0010610753,.000012027501,-.000018976907,.0012332747,-.000059745256,.0022905986
1927m2,.0025368512,.000091441587,.000029420522,-.00011974396,.00093048858,-.000018499455,-.000031053351,.0013624034,-.000088488625,.0016103486
1927m3,.0023878221,.00010630825,.00019484447,-.0002653228,.000812874,-.000010455991,-.000031778036,.0012681289,-.00019780546,.0013391335
1927m4,.0021056705,.00013966755,.00020964947,-.0002889577,.00075560616,.000076125027,-.00012741127,.0012101872,-.00033886099,.0013305468
1927m5,.0018634207,.00015007806,.00019606571,-.00029811362,.00066445902,.000070198337,-.000094830153,.0010174506,-.00029969146,.0014597531
1927m6,.0019473956,.00026165447,.0005312892,-.000074564465,.00061100663,.000162128,-.000029951992,.0012046276,-.0001008753,.0012998938
1927m7,.0018369383,.00022013465,.00051969191,-.00010873505,.00054129091,.0001244678,-.000032325697,.001068892,-.00011657201,.00096940628
1927m8,.0021846767,-.00017827128,.00028005699,.00030843774,.00064801495,.00017773961,-.00028159301,.00094008393,-.00022878674,.001258036
1927m9,.0019532316,-.00012392638,.00017862856,.00019864074,.00058102323,.00019776614,-.00022594024,.0010647677,-.00024790299,.0009614533
1927m10,.0019477609,-.00029121214,.00011089956,.00020468679,.00071813219,.00021447999,-.00026907714,.00091810134,-.00024404164,.00083093945
1927m11,.0020300467,-.00033374058,.00043816582,.00021883867,.00069345022,.000052656102,-.00025909324,.0011377746,-.00012427827,.00072829827
1927m12,.0022420064,-.000025468062,.00032488501,.000045044049,.00071727415,.000028781738,-.00024917533,.00096538459,-.00011700493,.00062912493
1928m1,.0020061645,.000026484528,.00025967296,.000064576518,.0006405249,.000015916177,-.00017863717,.00085261586,-.00019286849,.00079342019
1928m2,.0017993231,-.000021358164,.00024990895,.000028877314,.00082627975,-.000041970947,-.00020185512,.00074884517,-.00016165414,.00066650088
1928m3,.0016692996,.000078353056,.00025687984,.000034479337,.00079207774,3.5781486e-06,-.00013050158,.00066486682,-.00013195202,.00061399245
1928m4,.0023284701,.000051785042,.00002488208,.00066151179,.00069592538,.000018352204,-.00015444364,.00061907503,-.0002828399,.0011757468
1928m5,.0022152914,.00023628974,.00020319839,.00030511367,.00082219316,.00021080552,-.00049362739,.00072394952,-.00062459795,.0020056921
1928m6,.0019665393,.00025626188,.00014582743,.00021368795,.00084584404,.000035994864,-.00032057377,.00086268567,-.00062353729,.0016271925
1928m7,.0021156988,.00048840366,.00016664313,.000016994394,.00093675364,.000054545722,-.00032559884,.00074118836,-.000503488,.0012747435
1928m8,.0018716585,.00042842724,.00015663051,-.000026767422,.00084953179,.000065751345,-.00030792356,.00065215066,-.00044616201,.0011381698
1928m9,.0021224399,.00020716309,-.000061063845,.0002040438,.00081456464,.00013328175,-.00035946304,.0006680048,-.00051206496,.0012065908
1928m10,.0019414319,.0002587084,-.00001307491,.00021909982,.00077899924,.00012542332,-.00021573738,.00058577565,-.00042693099,.0012509048
1928m11,.0017300723,.00026132836,-.000014001317,.00019307937,.00075441552,.000024126333,-.000053562286,.00062726944,-.00059341796,.0016407844
1928m12,.0031037272,-.000058769838,.00039762293,.00030584232,.00071715307,-.000040410661,-.000087676701,.00064863526,-.00042646,.0012709188
1929m1,.0027116751,-.000013484518,.00034578951,.00019140712,.00064361084,-.000011798518,-.000093095296,.00058186805,-.00036473395,.0010105683
1929m2,.0025817929,-.00015484873,.00022991622,.00020971765,.00076940417,.000085297594,-.00019383554,.00055322668,-.00035990111,.00092133461
1929m3,.0022787927,-.000088052264,.00019150796,.0001006379,.00067822041,.000065449683,-.00018588472,.00052029762,-.00026178246,.00095800176
1929m4,.0020381827,.000054202359,.00015099974,.000064449421,.00095838564,-.000033124161,-.000060136419,.00048898451,-.00025053343,.0008053325
