edate,VarCov_mktrf_mktrf,VarCov_smb_mktrf,VarCov_hml_mktrf,VarCov_ps_vwf_mktrf,VarCov_umd_mktrf,VarCov_smb_smb,VarCov_hml_smb,VarCov_ps_vwf_smb,VarCov_umd_smb,VarCov_hml_hml,VarCov_ps_vwf_hml,VarCov_umd_hml,VarCov_ps_vwf_ps_vwf,VarCov_umd_ps_vwf,VarCov_umd_umd
1970m2,.0026848454,.00043118995,-.00039795245,-.00072024926,-.00038610844,.00091930205,6.2953786e-06,-.0003298957,-.00022346163,.00075281574,.000095289848,-.00019341343,.0011348029,.00024655191,.0011629729
1970m3,.0026038249,.00029578814,-.00022702919,-.00089965941,-.00029369531,.00087967707,-.000097449069,-.00013588289,-.00015173368,.00085844856,-.0001438942,-.00015693835,.0016036412,.00018776058,.00077860447
1970m4,.0023298033,.00031049908,-.0002818185,-.00070296135,-.00022357864,.00084401103,-.00018648773,-.00010141508,-.000098815559,.00096679159,-.00012241788,-.00015168973,.0013301644,.00013096166,.00059162092
1970m5,.0035744379,.0010569104,-.00098044367,-.00099570432,-.000080177997,.001272678,-.00057931471,-.00030982331,-.000014835855,.0013883846,.000095416806,-.00020506734,.0013442906,.000065443266,.0005238055
1970m6,.0037506339,.0012134833,-.0010418602,-.00039748879,.00013813397,.0013707863,-.00062050711,.000067246539,.00013984575,.0013085958,-.00015730259,-.00031760096,.0023255388,.00040853745,.000820352
1970m7,.0037233967,.001137474,-.00089562661,-.00017579176,-.00028317198,.0012229949,-.00050594809,.00010988285,2.6568484e-06,.001071722,-.00013387167,-.00031366671,.0021316297,.00019112744,.0019147013
1970m8,.0037029695,.00092941779,-.00071636925,-.00018537996,-.00039770198,.0010423708,-.00040719029,.000084079627,.00001560385,.00089318963,-.00010209306,-.00026886931,.0017372281,.00015331995,.0016065165
1970m9,.0034026401,.0008283151,-.00057534967,-.00017074625,-.00071462221,.00092211663,-.00031883773,.000056267003,-.000094911185,.00075587525,-.00007761184,-.00035026215,.0014336918,.0001791744,.002972085
1970m10,.0031225691,.0010673106,-.00073305663,-.00021310244,-.0011094597,.0018223833,-.00087211537,-.00014051316,-.0010473095,.0011467278,.000059912418,.00020581625,.0012827866,.00038408372,.0053388607
1970m11,.002829351,.0010139546,-.00060668233,-.00012700945,-.0012781476,.0017738494,-.00071329565,-.000048397691,-.0012687047,.00094161567,.000047383193,.00013994313,.0011595909,.00016067173,.0067076674
