edate,VarCov_mktrf_mktrf,VarCov_smb_mktrf,VarCov_hml_mktrf,VarCov_rmw_mktrf,VarCov_cma_mktrf,VarCov_smb_smb,VarCov_hml_smb,VarCov_rmw_smb,VarCov_cma_smb,VarCov_hml_hml,VarCov_rmw_hml,VarCov_cma_hml,VarCov_rmw_rmw,VarCov_cma_rmw,VarCov_cma_cma
1965m7,.001245813,.00052317925,-.000069257374,-.000017117953,-.0001728316,.00069585617,-9.7208231e-06,-.000054771888,-.000051634968,.0003612657,-1.5818783e-06,.00012486013,.00012882982,-.000029814353,.00020059479
1965m8,.0011494022,.00046582788,-.000057192374,-.000037179794,-.00016076896,.00064344134,7.8022558e-06,-.000071415554,-.000047232585,.00040182861,-.000053543565,.00011752668,.00016382991,-.000021034459,.00018302155
1965m9,.001107435,.00046649209,-.000093128132,5.1649340e-07,-.00017054677,.00066472788,-.000033823959,-.000018986693,-.000068204485,.00039302459,-.000071325383,.00013027854,.00019515115,-.000038281316,.00017905603
1965m10,.0010780339,.00041977791,-.00010095069,-.000039939074,-.00013995265,.00061126373,-.000033031294,-.000031772826,-.000056722463,.00036579819,-.000052713607,.00012378574,.00019935954,-.000043500848,.0001722521
1965m11,.0010413213,.00044013659,-.000065065571,-.00002017165,-.00015335278,.00068224099,.000028833676,1.2784059e-06,-.000085598709,.00037445687,-.000021319358,.00010264602,.00019540658,-.000048283393,.00017070409
1965m12,.00097847835,.00034911602,-.000071674753,-.000014293029,-.00013264109,.00091477443,.00002513047,-.000082463434,-.00013926619,.00035094254,-.000016856502,.00010258133,.00019993067,-.000023278644,.00017369783
1966m1,.0009187379,.00032250551,-.000069219052,-.000026057538,-.00012875414,.00088975456,.000070444985,-.00011310387,-.00013696471,.00038663132,-.000046534598,.000085005828,.00020532293,-8.8968700e-06,.00016702089
1966m2,.00086749881,.00029642863,-.000076628749,-.000031231917,-.00012326686,.0010301468,.00022994734,-.00026157458,-.00013068387,.00052806898,-.00017986119,.00007936683,.00032519668,2.6515852e-07,.00015652327
1966m3,.0008691352,.00017180678,-.000083986837,-.00003339268,-.000068439753,.0011613771,.0001989217,-.00023497753,-.00019717446,.00046664412,-.00014146164,.000078698824,.00027575396,1.1154277e-06,.00018276811
1966m4,.00094939891,.00016253472,.000010119826,-.000077916076,-.000063310406,.0010290057,.00016163172,-.00020610241,-.00016623246,.00049008237,-.00013956132,.000089429101,.00025498704,-1.8847782e-06,.00016898003
1966m5,.00091536471,.00020730296,-.000018452285,-.000070191731,-.000089187415,.0010312331,.00011131946,-.00017636428,-.00017988734,.00044266492,-.00011154763,.000099906196,.00022240309,-4.7468311e-06,.00017319409
1966m6,.0013417935,.00058611069,.0001176368,-.00018858844,.000056228524,.0012645897,.00019706883,-.00025286074,-.000054497468,.00044897941,-.00012429187,.00014040204,.00023329652,-.000036553964,.00019831186
1966m7,.0012815971,.00049361232,.00007374736,-.00016049792,.000016317845,.0011308402,.00016087692,-.00022129368,-.000041914238,.00040835398,-.000099260804,.00013653011,.00020588413,-.000031955708,.00018633476
1966m8,.0012407581,.00045010581,.000026565014,-.00012522806,-.000045898654,.0010082969,.00012299154,-.00018940083,-.000049474671,.00038264753,-.000084805484,.0001457264,.00019111829,-.000040262054,.0002057426
1966m9,.0020100265,.00071048137,-.000038426326,-.00012324497,-.00012843389,.0010297159,.000081575097,-.00017188003,-.000071396345,.00035936476,-.000066893786,.0001431236,.00017282415,-.000032829357,.00019433768
1966m10,.0018293685,.00063779758,-.000056010755,-.00008908577,-.00016609393,.00094085996,.000056853827,-.00013272985,-.000099730489,.00034125921,-.000060090846,.00015046504,.00018610802,-.00006995396,.00025265166
1966m11,.0017490282,.0003728864,.00002803498,-.000209049,-.000047357436,.0013776249,-.00019325023,.00017980822,-.000406354,.00042755841,-.00019419038,.00030019486,.0003751677,-.00025784946,.00045886083
1966m12,.0015747754,.00035697094,-.000026395175,-.0001850761,-.0001096898,.0013330278,-.00032649934,.00025736552,-.00060527923,.00071661995,-.00038409303,.00069593673,.00054888625,-.00053291232,.0010243274
1967m1,.0014272545,.00031325236,-.000031868105,-.00016417787,-.00011061949,.0012078908,-.00029110644,.00019902209,-.00049810443,.00063752255,-.00030895698,.00058439566,.00045397552,-.00042069642,.00084180816
1967m2,.0019290367,.00098863395,.000090074507,-.0001224552,-.00030729838,.0019912347,-.0001033677,.00017978874,-.00067228783,.00059876958,-.00023997952,.00048570355,.000376615,-.00035951857,.00084554503
1967m3,.0017224064,.00085737562,.000056211491,-.00011462392,-.00027476234,.0018239955,-.00014500863,.00017462319,-.00057543709,.00060313585,-.00024142988,.000443545,.0003720698,-.00031077419,.00071482832
1967m4,.0016680262,.00078957365,.000028386869,-.000093080816,-.0002942539,.0016240294,-.00012229801,.00013015133,-.00049785158,.0005223421,-.00018829787,.00038293671,.00031448208,-.00025465156,.00063468039
1967m5,.0016146587,.0006866178,-.000082376784,-.000020058078,-.0003881446,.0014199344,-.00011103653,.000096864394,-.00044222429,.00056645687,-.00022533027,.00046096099,.00035141304,-.00030740333,.00073374168
1967m6,.001756383,.00050065608,-.00012469271,.000069378271,-.00040755881,.0012986951,-.000081084072,.000026948153,-.00034154573,.00050260458,-.00019733634,.00040583056,.00035745458,-.00027731378,.00063910312
1967m7,.0016076892,.00055371562,-.00010795695,.000031389733,-.00040191156,.0016031248,-.00002183114,-.000041413532,-.00043400994,.00045582352,-.00016178304,.00034374997,.00031060359,-.0002101416,.0006222552
